4865c4865,13786
> ratB(0,13,43)
> ratA(0,50,65)
> ratB(0,13,44)
> ratA(0,49,65)
> ratB(0,13,45)
> ratA(0,50,65)
> ratB(0,14,45)
> ratA(0,51,65)
> ratB(0,15,45)
> ratA(0,52,65)
> ratB(0,16,45)
> ratA(0,53,65)
> ratB(0,17,45)
> ratA(0,54,65)
> ratB(0,17,46)
> ratA(0,55,65)
> ratB(0,17,47)
> ratA(0,55,64)
> ratB(0,16,47)
> ratA(0,55,63)
> ratB(0,15,47)
> ratA(0,56,63)
> ratB(0,14,47)
> ratA(0,57,63)
> ratB(0,13,47)
> ratA(0,57,62)
> ratB(0,13,48)
> ratA(0,57,61)
> ratB(0,13,49)
> ratA(0,56,61)
> ratB(0,12,49)
> ratA(0,55,61)
> ratB(0,11,49)
> ratA(0,55,60)
> ratB(0,11,50)
> ratA(0,55,59)
> ratB(0,11,51)
> ratA(0,54,59)
> ratB(0,12,51)
> ratA(0,53,59)
> ratB(0,13,51)
> ratA(0,54,59)
> ratB(0,13,52)
> ratA(0,55,59)
> ratB(0,13,53)
> ratA(0,55,58)
> ratB(0,12,53)
> ratA(0,55,57)
> ratB(0,11,53)
> ratA(0,54,57)
> ratB(0,10,53)
> ratA(0,53,57)
> ratB(0,9,53)
> ratA(0,52,57)
> ratB(0,9,52)
> ratA(0,51,57)
> ratB(0,9,51)
> ratA(0,50,57)
> ratB(0,9,50)
> ratA(0,49,57)
> ratB(0,9,49)
> ratA(0,50,57)
> ratB(0,8,49)
> ratA(0,51,57)
> ratB(0,7,49)
> ratA(0,52,57)
> ratB(0,7,48)
> ratA(0,53,57)
> ratB(0,7,47)
> ratA(0,54,57)
> ratB(0,6,47)
> ratA(0,55,57)
> ratB(0,5,47)
> ratA(0,56,57)
> ratB(0,5,48)
> ratA(0,57,57)
> ratB(0,5,49)
> ratA(0,57,56)
> ratB(0,4,49)
> ratA(0,57,55)
> ratB(0,3,49)
> ratA(0,57,54)
> ratB(0,3,48)
> ratA(0,57,53)
> ratB(0,3,47)
> ratA(0,57,52)
> ratB(0,3,46)
> ratA(0,57,51)
> ratB(0,3,45)
> ratA(0,56,51)
> ratB(0,3,44)
> ratA(0,55,51)
> ratB(0,3,43)
> ratA(0,55,52)
> ratB(0,2,43)
> ratA(0,55,53)
> ratB(0,1,43)
> ratA(0,55,52)
> ratB(0,1,44)
> ratA(0,55,51)
> ratB(0,1,45)
> ratA(0,56,51)
> ratB(0,1,46)
> ratA(0,57,51)
> ratB(0,1,47)
> ratA(0,57,52)
> ratB(0,1,48)
> ratA(0,57,53)
> ratB(0,1,49)
> ratA(0,57,54)
> ratB(0,1,50)
> ratA(0,57,55)
> ratB(0,1,51)
> ratA(0,56,55)
> ratB(0,1,52)
> ratA(0,55,55)
> ratB(0,1,53)
> ratA(0,54,55)
> ratB(0,1,54)
> ratA(0,53,55)
> ratB(0,1,55)
> ratA(0,53,54)
> ratB(0,1,54)
> ratA(0,53,53)
> ratB(0,1,53)
> ratA(0,53,52)
> ratB(0,1,52)
> ratA(0,53,51)
> ratB(0,1,51)
> ratA(0,53,50)
> ratB(0,2,51)
> ratA(0,53,49)
> ratB(0,3,51)
> ratA(0,53,48)
> ratB(0,3,52)
> ratA(0,53,47)
> ratB(0,3,53)
> ratA(0,53,46)
> ratB(0,3,54)
> ratA(0,53,45)
> ratB(0,3,55)
> ratA(0,52,45)
> ratB(0,3,56)
> ratA(0,51,45)
> ratB(0,3,57)
> ratA(0,50,45)
> ratB(0,2,57)
> ratA(0,49,45)
> ratB(0,1,57)
> ratA(0,49,46)
> ratB(0,1,58)
> ratA(0,49,47)
> ratB(0,1,59)
> ratA(0,49,48)
> ratB(0,2,59)
> ratA(0,49,49)
> ratB(0,3,59)
> ratA(0,48,49)
> ratB(0,3,60)
> ratA(0,47,49)
> ratB(0,3,61)
> ratA(0,46,49)
> ratB(0,3,62)
> ratA(0,45,49)
> ratB(0,3,63)
> ratA(0,45,50)
> ratB(0,3,62)
> ratA(0,45,51)
> ratB(0,3,61)
> ratA(0,46,51)
> ratB(0,2,61)
> ratA(0,47,51)
> ratB(0,1,61)
> ratA(0,48,51)
> ratB(0,1,62)
> ratA(0,49,51)
> ratB(0,1,63)
> ratA(0,48,51)
> ratB(0,1,64)
> ratA(0,47,51)
> ratB(0,1,65)
> ratA(0,46,51)
> ratB(0,2,65)
> ratA(0,45,51)
> ratB(0,3,65)
> ratA(0,44,51)
> ratB(0,3,66)
> ratA(0,43,51)
> ratB(0,3,67)
> ratA(0,43,50)
> ratB(0,3,68)
> ratA(0,43,49)
> ratB(0,3,69)
> ratA(0,43,48)
> ratB(0,3,68)
> ratA(0,43,47)
> ratB(0,3,67)
> ratA(0,44,47)
> ratB(0,2,67)
> ratA(0,45,47)
> ratB(0,1,67)
> ratA(0,45,46)
> ratB(0,1,68)
> ratA(0,45,45)
> ratB(0,1,69)
> ratA(0,46,45)
> ratB(0,1,70)
> ratA(0,47,45)
> ratB(0,1,71)
> ratA(0,47,46)
> ratB(0,1,72)
> ratA(0,47,47)
> ratB(0,1,73)
> ratA(0,47,46)
> ratB(0,1,74)
> ratA(0,47,45)
> ratB(0,1,75)
> ratA(0,47,44)
> ratB(0,2,75)
> ratA(0,47,43)
> ratB(0,3,75)
> ratA(0,46,43)
> ratB(0,3,74)
> ratA(0,45,43)
> ratB(0,3,73)
> ratA(0,44,43)
> ratB(0,3,72)
> ratA(0,43,43)
> ratB(0,3,71)
> ratA(0,43,42)
> ratB(0,4,71)
> ratA(0,43,41)
> ratB(0,5,71)
> ratA(0,44,41)
> ratB(0,5,70)
> ratA(0,45,41)
> ratB(0,5,69)
> ratA(0,44,41)
> ratB(0,5,68)
> ratA(0,43,41)
> ratB(0,5,67)
> ratA(0,43,40)
> ratB(0,5,66)
> ratA(0,43,39)
> ratB(0,5,65)
> ratA(0,42,39)
> ratB(0,6,65)
> ratA(0,41,39)
> ratB(0,7,65)
> ratA(0,41,40)
> ratB(0,7,64)
> ratA(0,41,41)
> ratB(0,7,63)
> ratA(0,41,42)
> ratB(0,7,62)
> ratA(0,41,43)
> ratB(0,7,61)
> ratA(0,41,44)
> ratB(0,7,62)
> ratA(0,41,45)
> ratB(0,7,63)
> ratA(0,41,46)
> ratB(0,6,63)
> ratA(0,41,47)
> ratB(0,5,63)
> ratA(0,41,48)
> ratB(0,5,62)
> ratA(0,41,49)
> ratB(0,5,61)
> ratA(0,41,50)
> ratB(0,5,60)
> ratA(0,41,51)
> ratB(0,5,59)
> ratA(0,41,52)
> ratB(0,6,59)
> ratA(0,41,53)
> ratB(0,7,59)
> ratA(0,40,53)
> ratB(0,7,58)
> ratA(0,39,53)
> ratB(0,7,57)
> ratA(0,39,52)
> ratB(0,8,57)
> ratA(0,39,51)
> ratB(0,9,57)
> ratA(0,39,50)
> ratB(0,9,58)
> ratA(0,39,49)
> ratB(0,9,59)
> ratA(0,39,48)
> ratB(0,9,60)
> ratA(0,39,47)
> ratB(0,9,61)
> ratA(0,38,47)
> ratB(0,10,61)
> ratA(0,37,47)
> ratB(0,11,61)
> ratA(0,37,48)
> ratB(0,12,61)
> ratA(0,37,49)
> ratB(0,13,61)
> ratA(0,37,50)
> ratB(0,14,61)
> ratA(0,37,51)
> ratB(0,15,61)
> ratA(0,36,51)
> ratB(0,16,61)
> ratA(0,35,51)
> ratB(0,17,61)
> ratA(0,35,52)
> ratB(0,18,61)
> ratA(0,35,53)
> ratB(0,19,61)
> ratA(0,34,53)
> ratB(0,19,62)
> ratA(0,33,53)
> ratB(0,19,63)
> ratA(0,33,54)
> ratB(0,18,63)
> ratA(0,33,55)
> ratB(0,17,63)
> ratA(0,33,56)
> ratB(0,16,63)
> ratA(0,33,57)
> ratB(0,15,63)
> ratA(0,32,57)
> ratB(0,16,63)
> ratA(0,31,57)
> ratB(0,17,63)
> ratA(0,31,56)
> ratB(0,18,63)
> ratA(0,31,55)
> ratB(0,19,63)
> ratA(0,30,55)
> ratB(0,19,62)
> ratA(0,29,55)
> ratB(0,19,61)
> ratA(0,29,56)
> ratB(0,18,61)
> ratA(0,29,57)
> ratB(0,17,61)
> ratA(0,29,58)
> ratB(0,16,61)
> ratA(0,29,59)
> ratB(0,15,61)
> ratA(0,30,59)
> ratB(0,14,61)
> ratA(0,31,59)
> ratB(0,13,61)
> ratA(0,31,60)
> ratB(0,13,62)
> ratA(0,31,61)
> ratB(0,13,63)
> ratA(0,32,61)
> ratB(0,12,63)
> ratA(0,33,61)
> ratB(0,11,63)
> ratA(0,33,60)
> ratB(0,11,64)
> ratA(0,33,59)
> ratB(0,11,65)
> ratA(0,34,59)
> ratB(0,12,65)
> ratA(0,35,59)
> ratB(0,13,65)
> ratA(0,36,59)
> ratB(0,14,65)
> ratA(0,37,59)
> ratB(0,15,65)
> ratA(0,37,58)
> ratB(0,16,65)
> ratA(0,37,57)
> ratB(0,17,65)
> ratA(0,36,57)
> ratB(0,17,66)
> ratA(0,35,57)
> ratB(0,17,67)
> ratA(0,35,56)
> ratB(0,18,67)
> ratA(0,35,55)
> ratB(0,19,67)
> ratA(0,36,55)
> ratB(0,19,66)
> ratA(0,37,55)
> ratB(0,19,65)
> ratA(0,38,55)
> ratB(0,20,65)
> ratA(0,39,55)
> ratB(0,21,65)
> ratA(0,39,56)
> ratB(0,21,64)
> ratA(0,39,57)
> ratB(0,21,63)
> ratA(0,40,57)
> ratB(0,21,64)
> ratA(0,41,57)
> ratB(0,21,65)
> ratA(0,41,56)
> ratB(0,22,65)
> ratA(0,41,55)
> ratB(0,23,65)
> ratA(0,42,55)
> ratB(0,24,65)
> ratA(0,43,55)
> ratB(0,25,65)
> ratA(0,44,55)
> ratB(0,26,65)
> ratA(0,45,55)
> ratB(0,27,65)
> ratA(0,45,56)
> ratB(0,27,64)
> ratA(0,45,57)
> ratB(0,27,63)
> ratA(0,45,58)
> ratB(0,27,64)
> ratA(0,45,59)
> ratB(0,27,65)
> ratA(0,45,60)
> ratB(0,28,65)
> ratA(0,45,61)
> ratB(0,29,65)
> ratA(0,44,61)
> ratB(0,29,64)
> ratA(0,43,61)
> ratB(0,29,63)
> ratA(0,43,62)
> ratB(0,29,62)
> ratA(0,43,63)
> ratB(0,29,61)
> ratA(0,43,64)
> ratB(0,28,61)
> ratA(0,43,65)
> ratB(0,27,61)
> ratA(0,42,65)
> ratB(0,26,61)
> ratA(0,41,65)
> ratB(0,25,61)
> ratA(0,41,66)
> ratB(0,25,62)
> ratA(0,41,67)
> ratB(0,25,63)
> ratA(0,42,67)
> ratB(0,24,63)
> ratA(0,43,67)
> ratB(0,23,63)
> ratA(0,43,68)
> ratB(0,23,62)
> ratA(0,43,69)
> ratB(0,23,61)
> ratA(0,43,70)
> ratB(0,22,61)
> ratA(0,43,71)
> ratB(0,21,61)
> ratA(0,44,71)
> ratB(0,21,60)
> ratA(0,45,71)
> ratB(0,21,59)
> ratA(0,46,71)
> ratB(0,20,59)
> ratA(0,47,71)
> ratB(0,19,59)
> ratA(0,48,71)
> ratB(0,18,59)
> ratA(0,49,71)
> ratB(0,17,59)
> ratA(0,49,72)
> ratB(0,17,58)
> ratA(0,49,73)
> ratB(0,17,57)
> ratA(0,48,73)
> ratB(0,18,57)
> ratA(0,47,73)
> ratB(0,19,57)
> ratA(0,46,73)
> ratB(0,20,57)
> ratA(0,45,73)
> ratB(0,21,57)
> ratA(0,44,73)
> ratB(0,22,57)
> ratA(0,43,73)
> ratB(0,23,57)
> ratA(0,43,74)
> ratB(0,24,57)
> ratA(0,43,75)
> ratB(0,25,57)
> ratA(0,44,75)
> ratB(0,25,56)
> ratA(0,45,75)
> ratB(0,25,55)
> ratA(0,46,75)
> ratB(0,26,55)
> ratA(0,47,75)
> ratB(0,27,55)
> ratA(0,48,75)
> ratB(0,27,54)
> ratA(0,49,75)
> ratB(0,27,53)
> ratA(0,49,76)
> ratB(0,28,53)
> ratA(0,49,77)
> ratB(0,29,53)
> ratA(0,48,77)
> ratB(0,29,52)
> ratA(0,47,77)
> ratB(0,29,51)
> ratA(0,47,78)
> ratB(0,30,51)
> ratA(0,47,79)
> ratB(0,31,51)
> ratA(0,48,79)
> ratB(0,32,51)
> ratA(0,49,79)
> ratB(0,33,51)
> ratA(0,49,80)
> ratB(0,33,50)
> ratA(0,49,81)
> ratB(0,33,49)
> ratA(0,49,82)
> ratB(0,33,48)
> ratA(0,49,83)
> ratB(0,33,47)
> ratA(0,49,82)
> ratB(0,32,47)
> ratA(0,49,81)
> ratB(0,31,47)
> ratA(0,48,81)
> ratB(0,30,47)
> ratA(0,47,81)
> ratB(0,29,47)
> ratA(0,48,81)
> ratB(0,29,46)
> ratA(0,49,81)
> ratB(0,29,45)
> ratA(0,49,80)
> ratB(0,30,45)
> ratA(0,49,79)
> ratB(0,31,45)
> ratA(0,50,79)
> ratB(0,31,44)
> ratA(0,51,79)
> ratB(0,31,43)
> ratA(0,51,78)
> ratB(0,32,43)
> ratA(0,51,77)
> ratB(0,33,43)
> ratA(0,52,77)
> ratB(0,34,43)
> ratA(0,53,77)
> ratB(0,35,43)
> ratA(0,53,76)
> ratB(0,36,43)
> ratA(0,53,75)
> ratB(0,37,43)
> ratA(0,52,75)
> ratB(0,37,44)
> ratA(0,51,75)
> ratB(0,37,45)
> ratA(0,52,75)
> ratB(0,38,45)
> ratA(0,53,75)
> ratB(0,39,45)
> ratA(0,53,74)
> ratB(0,39,44)
> ratA(0,53,73)
> ratB(0,39,43)
> ratA(0,54,73)
> ratB(0,39,42)
> ratA(0,55,73)
> ratB(0,39,41)
> ratA(0,56,73)
> ratB(0,38,41)
> ratA(0,57,73)
> ratB(0,37,41)
> ratA(0,57,74)
> ratB(0,37,40)
> ratA(0,57,75)
> ratB(0,37,39)
> ratA(0,57,76)
> ratB(0,37,38)
> ratA(0,57,77)
> ratB(0,37,37)
> ratA(0,57,78)
> ratB(0,36,37)
> ratA(0,57,79)
> ratB(0,35,37)
> ratA(0,57,80)
> ratB(0,34,37)
> ratA(0,57,81)
> ratB(0,33,37)
> ratA(0,57,80)
> ratB(0,33,36)
> ratA(0,57,79)
> ratB(0,33,35)
> ratA(0,56,79)
> ratB(0,34,35)
> ratA(0,55,79)
> ratB(0,35,35)
> ratA(0,54,79)
> ratB(0,35,34)
> ratA(0,53,79)
> ratB(0,35,33)
> ratA(0,54,79)
> ratB(0,34,33)
> ratA(0,55,79)
> ratB(0,33,33)
> ratA(0,55,78)
> ratB(0,33,32)
> ratA(0,55,77)
> ratB(0,33,31)
> ratA(0,55,76)
> ratB(0,33,30)
> ratA(0,55,75)
> ratB(0,33,29)
> ratA(0,55,76)
> ratB(0,33,28)
> ratA(0,55,77)
> ratB(0,33,27)
> ratA(0,55,78)
> ratB(0,33,26)
> ratA(0,55,79)
> ratB(0,33,25)
> ratA(0,56,79)
> ratB(0,34,25)
> ratA(0,57,79)
> ratB(0,35,25)
> ratA(0,57,78)
> ratB(0,35,26)
> ratA(0,57,77)
> ratB(0,35,27)
> ratA(0,57,76)
> ratB(0,36,27)
> ratA(0,57,75)
> ratB(0,37,27)
> ratA(0,57,74)
> ratB(0,37,26)
> ratA(0,57,73)
> ratB(0,37,25)
> ratA(0,56,73)
> ratB(0,37,26)
> ratA(0,55,73)
> ratB(0,37,27)
> ratA(0,54,73)
> ratB(0,38,27)
> ratA(0,53,73)
> ratB(0,39,27)
> ratA(0,52,73)
> ratB(0,39,28)
> ratA(0,51,73)
> ratB(0,39,29)
> ratA(0,52,73)
> ratB(0,40,29)
> ratA(0,53,73)
> ratB(0,41,29)
> ratA(0,53,74)
> ratB(0,41,28)
> ratA(0,53,75)
> ratB(0,41,27)
> ratA(0,53,76)
> ratB(0,41,26)
> ratA(0,53,77)
> ratB(0,41,25)
> ratA(0,52,77)
> ratB(0,40,25)
> ratA(0,51,77)
> ratB(0,39,25)
> ratA(0,51,78)
> ratB(0,39,24)
> ratA(0,51,79)
> ratB(0,39,23)
> ratA(0,50,79)
> ratB(0,40,23)
> ratA(0,49,79)
> ratB(0,41,23)
> ratA(0,48,79)
> ratB(0,41,22)
> ratA(0,47,79)
> ratB(0,41,21)
> ratA(0,46,79)
> ratB(0,40,21)
> ratA(0,45,79)
> ratB(0,39,21)
> ratA(0,45,78)
> ratB(0,39,20)
> ratA(0,45,77)
> ratB(0,39,19)
> ratA(0,44,77)
> ratB(0,39,20)
> ratA(0,43,77)
> ratB(0,39,21)
> ratA(0,43,78)
> ratB(0,38,21)
> ratA(0,43,79)
> ratB(0,37,21)
> ratA(0,43,78)
> ratB(0,36,21)
> ratA(0,43,77)
> ratB(0,35,21)
> ratA(0,44,77)
> ratB(0,36,21)
> ratA(0,45,77)
> ratB(0,37,21)
> ratA(0,45,78)
> ratB(0,37,22)
> ratA(0,45,79)
> ratB(0,37,23)
> ratA(0,46,79)
> ratB(0,36,23)
> ratA(0,47,79)
> ratB(0,35,23)
> ratA(0,47,78)
> ratB(0,34,23)
> ratA(0,47,77)
> ratB(0,33,23)
> ratA(0,48,77)
> ratB(0,33,22)
> ratA(0,49,77)
> ratB(0,33,21)
> ratA(0,49,76)
> ratB(0,33,20)
> ratA(0,49,75)
> ratB(0,33,19)
> ratA(0,48,75)
> ratB(0,33,18)
> ratA(0,47,75)
> ratB(0,33,17)
> ratA(0,46,75)
> ratB(0,33,16)
> ratA(0,45,75)
> ratB(0,33,15)
> ratA(0,44,75)
> ratB(0,33,14)
> ratA(0,43,75)
> ratB(0,33,13)
> ratA(0,43,74)
> ratB(0,34,13)
> ratA(0,43,73)
> ratB(0,35,13)
> ratA(0,42,73)
> ratB(0,35,12)
> ratA(0,41,73)
> ratB(0,35,11)
> ratA(0,40,73)
> ratB(0,35,12)
> ratA(0,39,73)
> ratB(0,35,13)
> ratA(0,38,73)
> ratB(0,36,13)
> ratA(0,37,73)
> ratB(0,37,13)
> ratA(0,37,72)
> ratB(0,38,13)
> ratA(0,37,71)
> ratB(0,39,13)
> ratA(0,37,70)
> ratB(0,38,13)
> ratA(0,37,69)
> ratB(0,37,13)
> ratA(0,36,69)
> ratB(0,37,14)
> ratA(0,35,69)
> ratB(0,37,15)
> ratA(0,34,69)
> ratB(0,37,14)
> ratA(0,33,69)
> ratB(0,37,13)
> ratA(0,32,69)
> ratB(0,36,13)
> ratA(0,31,69)
> ratB(0,35,13)
> ratA(0,31,68)
> ratB(0,35,14)
> ratA(0,31,67)
> ratB(0,35,15)
> ratA(0,30,67)
> ratB(0,35,16)
> ratA(0,29,67)
> ratB(0,35,17)
> ratA(0,29,68)
> ratB(0,35,18)
> ratA(0,29,69)
> ratB(0,35,19)
> ratA(0,29,70)
> ratB(0,36,19)
> ratA(0,29,71)
> ratB(0,37,19)
> ratA(0,29,72)
> ratB(0,37,18)
> ratA(0,29,73)
> ratB(0,37,17)
> ratA(0,30,73)
> ratB(0,38,17)
> ratA(0,31,73)
> ratB(0,39,17)
> ratA(0,32,73)
> ratB(0,39,16)
> ratA(0,33,73)
> ratB(0,39,15)
> ratA(0,33,74)
> ratB(0,40,15)
> ratA(0,33,75)
> ratB(0,41,15)
> ratA(0,34,75)
> ratB(0,42,15)
> ratA(0,35,75)
> ratB(0,43,15)
> ratA(0,36,75)
> ratB(0,43,16)
> ratA(0,37,75)
> ratB(0,43,17)
> ratA(0,36,75)
> ratB(0,43,16)
> ratA(0,35,75)
> ratB(0,43,15)
> ratA(0,35,74)
> ratB(0,42,15)
> ratA(0,35,73)
> ratB(0,41,15)
> ratA(0,35,72)
> ratB(0,41,16)
> ratA(0,35,71)
> ratB(0,41,17)
> ratA(0,34,71)
> ratB(0,41,18)
> ratA(0,33,71)
> ratB(0,41,19)
> ratA(0,32,71)
> ratB(0,42,19)
> ratA(0,31,71)
> ratB(0,43,19)
> ratA(0,32,71)
> ratB(0,44,19)
> ratA(0,33,71)
> ratB(0,45,19)
> ratA(0,34,71)
> ratB(0,46,19)
> ratA(0,35,71)
> ratB(0,47,19)
> ratA(0,35,72)
> ratB(0,48,19)
> ratA(0,35,73)
> ratB(0,49,19)
> ratA(0,35,74)
> ratB(0,50,19)
> ratA(0,35,75)
> ratB(0,51,19)
> ratA(0,34,75)
> ratB(0,52,19)
> ratA(0,33,75)
> ratB(0,53,19)
> ratA(0,32,75)
> ratB(0,53,18)
> ratA(0,31,75)
> ratB(0,53,17)
> ratA(0,32,75)
> ratB(0,54,17)
> ratA(0,33,75)
> ratB(0,55,17)
> ratA(0,33,74)
> ratB(0,55,16)
> ratA(0,33,73)
> ratB(0,55,15)
> ratA(0,32,73)
> ratB(0,54,15)
> ratA(0,31,73)
> ratB(0,53,15)
> ratA(0,30,73)
> ratB(0,53,14)
> ratA(0,29,73)
> ratB(0,53,13)
> ratA(0,29,72)
> ratB(0,54,13)
> ratA(0,29,71)
> ratB(0,55,13)
> ratA(0,28,71)
> ratB(0,56,13)
> ratA(0,27,71)
> ratB(0,57,13)
> ratA(0,28,71)
> ratB(0,57,14)
> ratA(0,29,71)
> ratB(0,57,15)
> ratA(0,29,70)
> ratB(0,58,15)
> ratA(0,29,69)
> ratB(0,59,15)
> ratA(0,29,68)
> ratB(0,59,16)
> ratA(0,29,67)
> ratB(0,59,17)
> ratA(0,30,67)
> ratB(0,58,17)
> ratA(0,31,67)
> ratB(0,57,17)
> ratA(0,31,66)
> ratB(0,57,18)
> ratA(0,31,65)
> ratB(0,57,19)
> ratA(0,31,64)
> ratB(0,56,19)
> ratA(0,31,63)
> ratB(0,55,19)
> ratA(0,32,63)
> ratB(0,55,20)
> ratA(0,33,63)
> ratB(0,55,21)
> ratA(0,33,64)
> ratB(0,54,21)
> ratA(0,33,65)
> ratB(0,53,21)
> ratA(0,34,65)
> ratB(0,53,22)
> ratA(0,35,65)
> ratB(0,53,23)
> ratA(0,35,64)
> ratB(0,53,24)
> ratA(0,35,63)
> ratB(0,53,25)
> ratA(0,35,62)
> ratB(0,52,25)
> ratA(0,35,61)
> ratB(0,51,25)
> ratA(0,36,61)
> ratB(0,50,25)
> ratA(0,37,61)
> ratB(0,49,25)
> ratA(0,38,61)
> ratB(0,48,25)
> ratA(0,39,61)
> ratB(0,47,25)
> ratA(0,39,60)
> ratB(0,48,25)
> ratA(0,39,59)
> ratB(0,49,25)
> ratA(0,40,59)
> ratB(0,50,25)
> ratA(0,41,59)
> ratB(0,51,25)
> ratA(0,41,60)
> ratB(0,52,25)
> ratA(0,41,61)
> ratB(0,53,25)
> ratA(0,41,62)
> ratB(0,54,25)
> ratA(0,41,63)
> ratB(0,55,25)
> ratA(0,40,63)
> ratB(0,55,24)
> ratA(0,39,63)
> ratB(0,55,23)
> ratA(0,38,63)
> ratB(0,56,23)
> ratA(0,37,63)
> ratB(0,57,23)
> ratA(0,37,64)
> ratB(0,58,23)
> ratA(0,37,65)
> ratB(0,59,23)
> ratA(0,37,66)
> ratB(0,60,23)
> ratA(0,37,67)
> ratB(0,61,23)
> ratA(0,36,67)
> ratB(0,62,23)
> ratA(0,35,67)
> ratB(0,63,23)
> ratA(0,34,67)
> ratB(0,64,23)
> ratA(0,33,67)
> ratB(0,65,23)
> ratA(0,34,67)
> ratB(0,66,23)
> ratA(0,35,67)
> ratB(0,67,23)
> ratA(0,36,67)
> ratB(0,68,23)
> ratA(0,37,67)
> ratB(0,69,23)
> ratA(0,37,66)
> ratB(0,69,22)
> ratA(0,37,65)
> ratB(0,69,21)
> ratA(0,38,65)
> ratB(0,69,20)
> ratA(0,39,65)
> ratB(0,69,19)
> ratA(0,39,66)
> ratB(0,68,19)
> ratA(0,39,67)
> ratB(0,67,19)
> ratA(0,39,68)
> ratB(0,66,19)
> ratA(0,39,69)
> ratB(0,65,19)
> ratA(0,40,69)
> ratB(0,64,19)
> ratA(0,41,69)
> ratB(0,63,19)
> ratA(0,41,70)
> ratB(0,63,18)
> ratA(0,41,71)
> ratB(0,63,17)
> ratA(0,40,71)
> ratB(0,62,17)
> ratA(0,39,71)
> ratB(0,61,17)
> ratA(0,40,71)
> ratB(0,61,16)
> ratA(0,41,71)
> ratB(0,61,15)
> ratA(0,41,70)
> ratB(0,61,14)
> ratA(0,41,69)
> ratB(0,61,13)
> ratA(0,40,69)
> ratB(0,61,12)
> ratA(0,39,69)
> ratB(0,61,11)
> ratA(0,39,68)
> ratB(0,62,11)
> ratA(0,39,67)
> ratB(0,63,11)
> ratA(0,39,66)
> ratB(0,63,12)
> ratA(0,39,65)
> ratB(0,63,13)
> ratA(0,38,65)
> ratB(0,64,13)
> ratA(0,37,65)
> ratB(0,65,13)
> ratA(0,37,64)
> ratB(0,65,12)
> ratA(0,37,63)
> ratB(0,65,11)
> ratA(0,38,63)
> ratB(0,66,11)
> ratA(0,39,63)
> ratB(0,67,11)
> ratA(0,40,63)
> ratB(0,67,10)
> ratA(0,41,63)
> ratB(0,67,9)
> ratA(0,41,62)
> ratB(0,66,9)
> ratA(0,41,61)
> ratB(0,65,9)
> ratA(0,41,60)
> ratB(0,64,9)
> ratA(0,41,59)
> ratB(0,63,9)
> ratA(0,42,59)
> ratB(0,62,9)
> ratA(0,43,59)
> ratB(0,61,9)
> ratA(0,43,58)
> ratB(0,61,8)
> ratA(0,43,57)
> ratB(0,61,7)
> ratA(0,43,58)
> ratB(0,62,7)
> ratA(0,43,59)
> ratB(0,63,7)
> ratA(0,42,59)
> ratB(0,63,6)
> ratA(0,41,59)
> ratB(0,63,5)
> ratA(0,40,59)
> ratB(0,62,5)
> ratA(0,39,59)
> ratB(0,61,5)
> ratA(0,39,60)
> ratB(0,60,5)
> ratA(0,39,61)
> ratB(0,59,5)
> ratA(0,38,61)
> ratB(0,59,6)
> ratA(0,37,61)
> ratB(0,59,7)
> ratA(0,36,61)
> ratB(0,59,8)
> ratA(0,35,61)
> ratB(0,59,9)
> ratA(0,35,62)
> ratB(0,58,9)
> ratA(0,35,63)
> ratB(0,57,9)
> ratA(0,35,64)
> ratB(0,57,8)
> ratA(0,35,65)
> ratB(0,57,7)
> ratA(0,34,65)
> ratB(0,56,7)
> ratA(0,33,65)
> ratB(0,55,7)
> ratA(0,33,64)
> ratB(0,55,8)
> ratA(0,33,63)
> ratB(0,55,9)
> ratA(0,32,63)
> ratB(0,55,10)
> ratA(0,31,63)
> ratB(0,55,11)
> ratA(0,31,64)
> ratB(0,54,11)
> ratA(0,31,65)
> ratB(0,53,11)
> ratA(0,31,66)
> ratB(0,53,10)
> ratA(0,31,67)
> ratB(0,53,9)
> ratA(0,31,68)
> ratB(0,53,8)
> ratA(0,31,69)
> ratB(0,53,7)
> ratA(0,32,69)
> ratB(0,53,6)
> ratA(0,33,69)
> ratB(0,53,5)
> ratA(0,34,69)
> ratB(0,54,5)
> ratA(0,35,69)
> ratB(0,55,5)
> ratA(0,36,69)
> ratB(0,55,4)
> ratA(0,37,69)
> ratB(0,55,3)
> ratA(0,37,70)
> ratB(0,56,3)
> ratA(0,37,71)
> ratB(0,57,3)
> ratA(0,37,72)
> ratB(0,57,4)
> ratA(0,37,73)
> ratB(0,57,5)
> ratA(0,38,73)
> ratB(0,57,4)
> ratA(0,39,73)
> ratB(0,57,3)
> ratA(0,40,73)
> ratB(0,56,3)
> ratA(0,41,73)
> ratB(0,55,3)
> ratA(0,42,73)
> ratB(0,55,4)
> ratA(0,43,73)
> ratB(0,55,5)
> ratA(0,44,73)
> ratB(0,54,5)
> ratA(0,45,73)
> ratB(0,53,5)
> ratA(0,46,73)
> ratB(0,53,6)
> ratA(0,47,73)
> ratB(0,53,7)
> ratA(0,48,73)
> ratB(0,53,8)
> ratA(0,49,73)
> ratB(0,53,9)
> ratA(0,49,72)
> ratB(0,53,10)
> ratA(0,49,71)
> ratB(0,53,11)
> ratA(0,48,71)
> ratB(0,54,11)
> ratA(0,47,71)
> ratB(0,55,11)
